lat,lon,z,time,anom
-72.5,87.5,0.0,2020-12-01,
-72.5,92.5,0.0,2020-12-01,
-72.5,97.5,0.0,2020-12-01,
-72.5,102.5,0.0,2020-12-01,
-72.5,107.5,0.0,2020-12-01,
-72.5,112.5,0.0,2020-12-01,
-72.5,117.5,0.0,2020-12-01,
-72.5,122.5,0.0,2020-12-01,
-72.5,127.5,0.0,2020-12-01,
-72.5,132.5,0.0,2020-12-01,
-72.5,137.5,0.0,2020-12-01,
-72.5,142.5,0.0,2020-12-01,
-72.5,147.5,0.0,2020-12-01,
-72.5,152.5,0.0,2020-12-01,
-72.5,157.5,0.0,2020-12-01,
-72.5,162.5,0.0,2020-12-01,1.48
-72.5,167.5,0.0,2020-12-01,1.08
-72.5,172.5,0.0,2020-12-01,1.56
-72.5,177.5,0.0,2020-12-01,
-72.5,182.5,0.0,2020-12-01,
-72.5,187.5,0.0,2020-12-01,
-72.5,192.5,0.0,2020-12-01,
-72.5,197.5,0.0,2020-12-01,
-72.5,202.5,0.0,2020-12-01,
-72.5,207.5,0.0,2020-12-01,
-72.5,212.5,0.0,2020-12-01,
-72.5,217.5,0.0,2020-12-01,
-72.5,222.5,0.0,2020-12-01,
-72.5,227.5,0.0,2020-12-01,
-72.5,232.5,0.0,2020-12-01,
-72.5,237.5,0.0,2020-12-01,
-72.5,242.5,0.0,2020-12-01,
-72.5,247.5,0.0,2020-12-01,
-72.5,252.5,0.0,2020-12-01,
-72.5,257.5,0.0,2020-12-01,
-72.5,262.5,0.0,2020-12-01,
-72.5,267.5,0.0,2020-12-01,
-72.5,272.5,0.0,2020-12-01,
-72.5,277.5,0.0,2020-12-01,
-72.5,282.5,0.0,2020-12-01,
-72.5,287.5,0.0,2020-12-01,-0.8
-72.5,292.5,0.0,2020-12-01,0.2
-72.5,297.5,0.0,2020-12-01,-0.61
-72.5,302.5,0.0,2020-12-01,
-72.5,307.5,0.0,2020-12-01,
-72.5,312.5,0.0,2020-12-01,
-72.5,317.5,0.0,2020-12-01,
-72.5,322.5,0.0,2020-12-01,
-72.5,327.5,0.0,2020-12-01,
-72.5,332.5,0.0,2020-12-01,
-72.5,337.5,0.0,2020-12-01,
-72.5,342.5,0.0,2020-12-01,
-72.5,347.5,0.0,2020-12-01,
-72.5,352.5,0.0,2020-12-01,-0.29
-72.5,357.5,0.0,2020-12-01,-0.69
-67.5,2.5,0.0,2020-12-01,
-67.5,7.5,0.0,2020-12-01,
-67.5,12.5,0.0,2020-12-01,
-67.5,17.5,0.0,2020-12-01,
-67.5,22.5,0.0,2020-12-01,
-67.5,27.5,0.0,2020-12-01,
-67.5,32.5,0.0,2020-12-01,
-67.5,37.5,0.0,2020-12-01,-2.16
-67.5,42.5,0.0,2020-12-01,
-67.5,47.5,0.0,2020-12-01,-1.14
-67.5,52.5,0.0,2020-12-01,
-67.5,57.5,0.0,2020-12-01,
-67.5,62.5,0.0,2020-12-01,-0.66
-67.5,67.5,0.0,2020-12-01,
-67.5,72.5,0.0,2020-12-01,
-67.5,77.5,0.0,2020-12-01,-0.63
-67.5,82.5,0.0,2020-12-01,
-67.5,87.5,0.0,2020-12-01,
-67.5,92.5,0.0,2020-12-01,-1.21
-67.5,97.5,0.0,2020-12-01,
-67.5,102.5,0.0,2020-12-01,
-67.5,107.5,0.0,2020-12-01,
-67.5,112.5,0.0,2020-12-01,-0.92
-67.5,117.5,0.0,2020-12-01,
-67.5,122.5,0.0,2020-12-01,
-67.5,127.5,0.0,2020-12-01,
-67.5,132.5,0.0,2020-12-01,
-67.5,137.5,0.0,2020-12-01,0.62
-67.5,142.5,0.0,2020-12-01,0.82
-67.5,147.5,0.0,2020-12-01,
-67.5,152.5,0.0,2020-12-01,
-67.5,157.5,0.0,2020-12-01,
-67.5,162.5,0.0,2020-12-01,
-67.5,167.5,0.0,2020-12-01,
-67.5,172.5,0.0,2020-12-01,
-67.5,177.5,0.0,2020-12-01,
-67.5,182.5,0.0,2020-12-01,
-67.5,187.5,0.0,2020-12-01,
-67.5,192.5,0.0,2020-12-01,
-67.5,197.5,0.0,2020-12-01,
-67.5,202.5,0.0,2020-12-01,
-67.5,207.5,0.0,2020-12-01,
-67.5,212.5,0.0,2020-12-01,
-67.5,217.5,0.0,2020-12-01,
-67.5,222.5,0.0,2020-12-01,
-67.5,227.5,0.0,2020-12-01,
-67.5,232.5,0.0,2020-12-01,
-67.5,237.5,0.0,2020-12-01,
-67.5,242.5,0.0,2020-12-01,
-67.5,247.5,0.0,2020-12-01,
-67.5,252.5,0.0,2020-12-01,
-67.5,257.5,0.0,2020-12-01,
-67.5,262.5,0.0,2020-12-01,-0.77602375
-67.5,267.5,0.0,2020-12-01,
-67.5,272.5,0.0,2020-12-01,-0.6408511
-67.5,277.5,0.0,2020-12-01,-0.6374165
-67.5,282.5,0.0,2020-12-01,-0.5740522
-67.5,287.5,0.0,2020-12-01,-0.52236015
-67.5,292.5,0.0,2020-12-01,-0.43969634
-67.5,297.5,0.0,2020-12-01,-0.23911804
-67.5,302.5,0.0,2020-12-01,
-67.5,307.5,0.0,2020-12-01,
-67.5,312.5,0.0,2020-12-01,
-67.5,317.5,0.0,2020-12-01,
-67.5,322.5,0.0,2020-12-01,
-67.5,327.5,0.0,2020-12-01,
-67.5,332.5,0.0,2020-12-01,
-67.5,337.5,0.0,2020-12-01,
-67.5,342.5,0.0,2020-12-01,
-67.5,347.5,0.0,2020-12-01,
-67.5,352.5,0.0,2020-12-01,
-67.5,357.5,0.0,2020-12-01,-0.34165525
-62.5,2.5,0.0,2020-12-01,-0.42476743
-62.5,7.5,0.0,2020-12-01,
-62.5,12.5,0.0,2020-12-01,
-62.5,17.5,0.0,2020-12-01,
-62.5,22.5,0.0,2020-12-01,
-62.5,27.5,0.0,2020-12-01,
-62.5,32.5,0.0,2020-12-01,
-62.5,37.5,0.0,2020-12-01,
-62.5,42.5,0.0,2020-12-01,0.01581105
-62.5,47.5,0.0,2020-12-01,0.031573817
-62.5,52.5,0.0,2020-12-01,0.010693098
-62.5,57.5,0.0,2020-12-01,-0.11784921
-62.5,62.5,0.0,2020-12-01,-0.18597011
-62.5,67.5,0.0,2020-12-01,0.050620787
-62.5,72.5,0.0,2020-12-01,0.012628732
-62.5,77.5,0.0,2020-12-01,0.05506987
-62.5,82.5,0.0,2020-12-01,-0.08734624
-62.5,87.5,0.0,2020-12-01,-0.2902141
-62.5,92.5,0.0,2020-12-01,-0.25037217
-62.5,97.5,0.0,2020-12-01,
-62.5,102.5,0.0,2020-12-01,-0.41068193
-62.5,107.5,0.0,2020-12-01,-0.14828372
-62.5,112.5,0.0,2020-12-01,-0.10457451
-62.5,117.5,0.0,2020-12-01,-0.22779343
-62.5,122.5,0.0,2020-12-01,-0.25820035
-62.5,127.5,0.0,2020-12-01,-0.33887938
-62.5,132.5,0.0,2020-12-01,-0.47888452
-62.5,137.5,0.0,2020-12-01,-0.60877377
-62.5,142.5,0.0,2020-12-01,-0.7091506
-62.5,147.5,0.0,2020-12-01,-0.65346056
-62.5,152.5,0.0,2020-12-01,-0.54053867
-62.5,157.5,0.0,2020-12-01,-0.44921693
-62.5,162.5,0.0,2020-12-01,-0.38029188
-62.5,167.5,0.0,2020-12-01,-0.34523243
-62.5,172.5,0.0,2020-12-01,-0.32281214
-62.5,177.5,0.0,2020-12-01,-0.28440136
-62.5,182.5,0.0,2020-12-01,-0.26240906
-62.5,187.5,0.0,2020-12-01,-0.2487208
-62.5,192.5,0.0,2020-12-01,-0.24708107
-62.5,197.5,0.0,2020-12-01,-0.2950345
-62.5,202.5,0.0,2020-12-01,-0.3470697
-62.5,207.5,0.0,2020-12-01,-0.42211255
-62.5,212.5,0.0,2020-12-01,-0.5089536
-62.5,217.5,0.0,2020-12-01,-0.5328037
-62.5,222.5,0.0,2020-12-01,-0.5203438
-62.5,227.5,0.0,2020-12-01,-0.5501936
-62.5,232.5,0.0,2020-12-01,-0.6122391
-62.5,237.5,0.0,2020-12-01,-0.6202567
-62.5,242.5,0.0,2020-12-01,-0.62232876
-62.5,247.5,0.0,2020-12-01,-0.6432689
-62.5,252.5,0.0,2020-12-01,-0.6530044
-62.5,257.5,0.0,2020-12-01,-0.6638029
-62.5,262.5,0.0,2020-12-01,-0.70312446
-62.5,267.5,0.0,2020-12-01,-0.7288364
-62.5,272.5,0.0,2020-12-01,-0.73492
-62.5,277.5,0.0,2020-12-01,-0.735468
-62.5,282.5,0.0,2020-12-01,-0.7171356
-62.5,287.5,0.0,2020-12-01,-0.6681489
-62.5,292.5,0.0,2020-12-01,-0.5682604
-62.5,297.5,0.0,2020-12-01,-0.38610515
-62.5,302.5,0.0,2020-12-01,-0.23324263
-62.5,307.5,0.0,2020-12-01,-0.28032592
-62.5,312.5,0.0,2020-12-01,-0.22499014
-62.5,317.5,0.0,2020-12-01,0.59
-62.5,322.5,0.0,2020-12-01,
-62.5,327.5,0.0,2020-12-01,
-62.5,332.5,0.0,2020-12-01,
-62.5,337.5,0.0,2020-12-01,
-62.5,342.5,0.0,2020-12-01,
-62.5,347.5,0.0,2020-12-01,
-62.5,352.5,0.0,2020-12-01,-0.40933296
-62.5,357.5,0.0,2020-12-01,
-57.5,2.5,0.0,2020-12-01,-0.35695297
-57.5,7.5,0.0,2020-12-01,-0.43693715
-57.5,12.5,0.0,2020-12-01,-0.5334542
-57.5,17.5,0.0,2020-12-01,-0.45254758
-57.5,22.5,0.0,2020-12-01,-0.33077228
-57.5,27.5,0.0,2020-12-01,-0.24970846
-57.5,32.5,0.0,2020-12-01,-0.23393865
-57.5,37.5,0.0,2020-12-01,-0.23077394
-57.5,42.5,0.0,2020-12-01,-0.21312599
-57.5,47.5,0.0,2020-12-01,-0.1908284
-57.5,52.5,0.0,2020-12-01,-0.17339411
-57.5,57.5,0.0,2020-12-01,-0.16250014
-57.5,62.5,0.0,2020-12-01,-0.16195026
-57.5,67.5,0.0,2020-12-01,-0.14003569
-57.5,72.5,0.0,2020-12-01,-0.12911738
-57.5,77.5,0.0,2020-12-01,-0.082645655
-57.5,82.5,0.0,2020-12-01,-0.076204896
-57.5,87.5,0.0,2020-12-01,-0.056513213
-57.5,92.5,0.0,2020-12-01,-0.06093691
-57.5,97.5,0.0,2020-12-01,-0.04621936
-57.5,102.5,0.0,2020-12-01,-0.039382707
-57.5,107.5,0.0,2020-12-01,-0.0320476
-57.5,112.5,0.0,2020-12-01,-0.04000143
-57.5,117.5,0.0,2020-12-01,-0.10061883
-57.5,122.5,0.0,2020-12-01,-0.16687667
